"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902893","GO:1902893","regulation of pri-miRNA transcription by RNA polymerase II","16/172","83/29008",4.19920896924631e-20,8.05865993192028e-17,5.16358818243756e-17,"Klf5/Fos/Egr1/Klf4/Ets1/Spi1/Wt1/Jun/Ctcf/Srebf2/Yy1/Srebf1/Nfib/Foxo3/Nfatc3/Nfatc4",16
"GO:0061614","GO:0061614","pri-miRNA transcription by RNA polymerase II","16/172","85/29008",6.32547875346961e-20,8.05865993192028e-17,5.16358818243756e-17,"Klf5/Fos/Egr1/Klf4/Ets1/Spi1/Wt1/Jun/Ctcf/Srebf2/Yy1/Srebf1/Nfib/Foxo3/Nfatc3/Nfatc4",16
"GO:0048732","GO:0048732","gland development","27/172","477/29008",8.85833057654336e-19,7.52367543634416e-16,4.82079674533991e-16,"Sp3/Klf1/Sp1/Atf7/Etv5/Elk1/Etv4/Wt1/Ikzf1/Atf2/Elf3/Usf2/Jun/Creb1/Hes1/Pou3f2/Pou1f1/Foxf1/Rreb1/Foxa3/Nfib/Nfatc3/Elf5/Ptf1a/Ascl1/Foxc1/Hoxa13",27
"GO:0045165","GO:0045165","cell fate commitment","21/172","288/29008",5.22872998212907e-17,3.33070099861622e-14,2.13414742165321e-14,"Fev/Etv2/Wt1/Ets2/Spdef/Hes1/Pou3f2/Pou5f1/Pou1f1/Foxp3/Foxa2/Mitf/Neurog2/Foxc2/Elf5/Olig2/Ptf1a/Ascl1/Hoxd10/Hoxc10/Hoxa13",21
"GO:0007517","GO:0007517","muscle organ development","22/172","360/29008",3.73858951723737e-16,1.90518521798416e-13,1.22074786131267e-13,"Klf5/Fos/Egr1/Atf3/Etv1/Wt1/Creb1/Foxl2/Sox11/Arntl/Myc/Foxp2/Foxp1/Nfatc3/Foxc2/Foxo4/Hey1/Sox15/Foxc1/Foxk1/Hoxd10/Egr2",22
"GO:0030099","GO:0030099","myeloid cell differentiation","23/172","426/29008",1.11472203952338e-15,4.73385292784262e-13,3.03321733912414e-13,"Klf10/Sp3/Klf1/Sp1/Fos/Klf2/Junb/Ets1/Zbtb7a/Spib/Gabpa/Fli1/Spi1/Etv2/Ikzf1/Jun/Creb1/Tfe3/Myc/Foxp1/Mitf/Foxo3/Meis2",23
"GO:1902895","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II","12/172","69/29008",8.42239997857116e-15,3.0657535921999e-12,1.96438231079156e-12,"Klf5/Fos/Egr1/Klf4/Ets1/Spi1/Wt1/Jun/Ctcf/Srebf2/Srebf1/Foxo3",12
"GO:0009952","GO:0009952","anterior/posterior pattern specification","17/172","232/29008",5.2018359144702e-14,1.65678473875876e-11,1.06158519780833e-11,"Wt1/Ets2/Hes1/Bhlhe40/Bhlhe41/Hoxd11/Foxa2/Yy1/Foxf1/Foxc2/Hey1/Hes2/Hoxa10/Lhx1/Foxc1/Hoxd10/Hoxc10",17
"GO:0003002","GO:0003002","regionalization","20/172","379/29008",1.39865091276275e-13,3.75883910023359e-11,2.40847700754454e-11,"Sp8/Wt1/Ets2/Hes1/Bhlhe40/Bhlhe41/Hoxd11/Foxa2/Yy1/Foxf1/Foxc2/Hey1/Hes2/Ascl1/Hoxa10/Lhx1/Foxc1/Hoxd10/Hoxc10/Egr2",20
"GO:0007389","GO:0007389","pattern specification process","22/172","482/29008",1.47521157779968e-13,3.75883910023359e-11,2.40847700754454e-11,"Sp8/Wt1/Ets2/Hes1/Bhlhe40/Bhlhe41/Rfx3/Hoxd11/Foxa2/Yy1/Foxf1/Foxc2/Hey1/Hes2/Ascl1/Hoxa10/Lhx1/Foxc1/Hoxd10/Meis2/Hoxc10/Egr2",22
