"","gene_short_name","term","q_value","estimate","std_err","p_value"
"1","Nalcn","genotypeP2KO:group3",1.11822518765838e-11,-0.770495468030973,0.0956439207813824,8.01940037047028e-16
"2","Cdh4","genotypeP2KO:group2",5.12086446930372e-20,0.454235322033833,0.0447758268234702,3.64318758487743e-24
"3","Cdh4","genotypeP2KO:group5",1.57377810437426e-11,-0.518234726020505,0.064656794188679,1.11742268132225e-15
"4","Gabra2","genotypeP2KO:group3",1.01505465829103e-30,0.685674806997964,0.0556305909148222,7.20152293927655e-35
"5","Gabra2","genotypeP2KO:group4",1.01456212133754e-17,0.488335175960663,0.0507924452929504,7.18528414544998e-22
"6","Gabra2","genotypeP2KO:group5",2.63720320785068e-13,0.321677161220763,0.0378272099972102,1.87088763326524e-17
"7","Sez6","genotypeP2KO:group1",5.56193728062856e-85,0.355711682869016,0.0177444681219463,3.96008350347352e-89
"8","Sez6","genotypeP2KO:group2",7.84614098474259e-13,-0.233528947107983,0.0278823560221956,5.60278562178134e-17
"9","St7","genotypeP2KO:group1",2.33774655308228e-40,-0.24342317589274,0.01738145667853,1.68352769197917e-44
"10","St7","genotypeP2KO:group3",2.0779818504114e-15,0.23627025445669,0.0261109868209661,1.48427275029386e-19
"11","Kat2b","genotypeP2KO:group1",3.12564606622669e-22,0.278720676956071,0.026221324236635,2.27899822546605e-26
"12","Kat2b","genotypeP2KO:group3",1.4368598589224e-11,-0.312967752997522,0.0389985315633933,1.03052417623352e-15
"13","Kcnn3","genotypeP2KO:group1",6.09283484593191e-27,0.221677439896166,0.0191105074186592,4.42343171622761e-31
"14","Kcnn3","genotypeP2KO:group3",6.99214972542333e-42,-0.648273711532762,0.0454806053648851,4.9512460879644e-46
"15","Kcnn3","genotypeP2KO:group4",7.60381085021014e-54,-0.570152055938339,0.0354807911790425,5.37030217544328e-58
"16","Bcl11a","genotypeP2KO:group1",4.22242960250411e-33,0.135071895752443,0.0105860634763255,3.05199103903441e-37
"17","Necab3","genotypeP2KO:group1",2.11113353087098e-25,0.527866071200819,0.0467484028104324,1.53436552865105e-29
"18","Ckb","genotypeP2KO:group1",6.09161890801086e-18,0.148001980061564,0.0153159334599697,4.46370550891101e-22
"19","Rnd2","genotypeP2KO:group1",1.03289049836628e-89,0.660767718572742,0.0321000957352297,7.34944142853479e-94
"20","Celf2","genotypeP2KO:group1",8.61116073456281e-114,-0.11263658311195,0.00486890947194576,6.11631560093956e-118
"21","Celf2","genotypeP2KO:group2",5.21116489435235e-20,0.0873852317131282,0.00861537616972348,3.70769469537698e-24
"22","Celf2","genotypeP2KO:group5",1.09404616947661e-70,0.195716067655727,0.0106793382835679,7.72576915102469e-75
"23","Ncan","genotypeP2KO:group1",1.95259521317675e-15,0.0893920901203014,0.00987526904639678,1.43848181315511e-19
"24","Ncan","genotypeP2KO:group3",2.86293939671103e-72,-0.373959165990487,0.0201870296278268,2.02270693564436e-76
"25","Tiam1","genotypeP2KO:group3",1.10037617600113e-23,0.373484280107664,0.0341388860057948,7.81961466743271e-28
"26","Camk2b","genotypeP2KO:group1",9.89690642292348e-52,-0.364053924242239,0.0230961149478895,7.09049034455042e-56
"27","Disp1","genotypeP2KO:group1",3.31276721695906e-14,0.366707637927815,0.0419716454469158,2.44683301348627e-18
"28","Rps11","genotypeP2KO:group1",5.77416885340152e-32,0.126161530206717,0.0100499519501697,4.17782277215941e-36
"29","Bicd1","genotypeP2KO:group1",5.6851981550518e-15,0.131467218967708,0.0147145792903629,4.19107862517641e-19
"30","Man1a","genotypeP2KO:group1",1.23955265865213e-32,-0.851156390883253,0.0671523634631184,8.96342945008408e-37
"31","Mast2","genotypeP2KO:group1",6.76847928310704e-12,-0.0940421012793494,0.0115916783090624,5.02522776977284e-16
"32","Calr","genotypeP2KO:group1",2.44844004626715e-23,0.203606896068771,0.0187396440320048,1.78288796786365e-27
"33","Calr","genotypeP2KO:group3",1.00138696915554e-34,-0.410455495849382,0.031452874041963,7.09851115868389e-39
"34","Grm3","genotypeP2KO:group1",7.26875231436759e-29,-1.09463960141274,0.0914200168359719,5.26988495205364e-33
"35","Ssbp2","genotypeP2KO:group1",9.49225878100923e-161,-0.408570882936017,0.0148876091592004,6.72780408321584e-165
"36","Ssbp2","genotypeP2KO:group3",5.0029282689377e-44,0.423844145190085,0.0290388511034196,3.54164538364555e-48
"37","Ssbp2","genotypeP2KO:group5",1.70332359474733e-25,0.469376451239926,0.0414903349442893,1.20478398270429e-29
"38","Cux1","genotypeP2KO:group1",1.33900505685827e-243,-0.638426653438213,0.0189114597068388,9.4736455133598e-248
"39","Cux1","genotypeP2KO:group3",8.61731131729135e-99,0.661634095436871,0.0306584192152638,6.08524208551045e-103
"40","Cux1","genotypeP2KO:group4",1.6337150662575e-22,0.400991611007175,0.0375010618871752,1.15554892223617e-26
"41","Cacna1e","genotypeP2KO:group1",3.50373392732284e-116,0.457212694583717,0.019562382150093,2.48791729554984e-120
"42","Cacna1e","genotypeP2KO:group2",1.28569615094889e-39,-0.353707406558014,0.0254759814533887,9.10807701153929e-44
"43","Cacna1e","genotypeP2KO:group5",1.37868171321906e-19,-0.608607434587347,0.0605710770629588,9.76126956399786e-24
"44","Cacna1e","genotypeP2KO:group6",1.13484564953284e-11,-0.320483792353422,0.0397856265319101,8.05941090499854e-16
"45","Prcc","genotypeP2KO:group1",5.34056614300864e-155,-0.766972145208248,0.0284567748962291,3.78548776793921e-159
"46","Slc1a2","genotypeP2KO:group3",8.27284866695539e-36,-1.04815517480456,0.0791719080687034,5.86352588202948e-40
"47","Eif2ak4","genotypeP2KO:group1",6.49688778974831e-14,0.237813991364653,0.0274598201625245,4.8014838443192e-18
"48","Prdx2","genotypeP2KO:group1",1.22151569690185e-31,0.133143334157103,0.0106567224823899,8.84003254379689e-36
"49","App","genotypeP2KO:group1",2.47475391209943e-14,0.124469927755972,0.0141926910516438,1.82733065945465e-18
"50","Slc1a3","genotypeP2KO:group3",1.58455118454189e-11,-0.31940301244876,0.0398602224138019,1.1365307592468e-15
"51","Mef2c","genotypeP2KO:group1",2.45040990795955e-254,-0.533282861537265,0.0154596668291403,1.73333091034841e-258
"52","Mef2c","genotypeP2KO:group2",6.09343803279564e-144,0.592597189742581,0.022808234307891,4.30327544688958e-148
"53","Mef2c","genotypeP2KO:group3",6.42231027953102e-15,0.348580818820644,0.0390591936877931,4.58965931503682e-19
"54","Mef2c","genotypeP2KO:group5",4.54644387557669e-64,0.566048807076131,0.0323941317378135,3.21099221384045e-68
"55","Kit","genotypeP2KO:group1",1.02313564760499e-177,0.819403047215856,0.0284057181630027,7.2485699440665e-182
"56","Kit","genotypeP2KO:group2",1.28005832931939e-63,-0.691284071218731,0.0396962654962467,9.04954633665178e-68
"57","Kit","genotypeP2KO:group4",1.19267090196383e-21,-0.612343763569905,0.0582820179365656,8.4371173030831e-26
"58","Kit","genotypeP2KO:group6",5.21355555087838e-16,-0.613579027152896,0.0666970155129145,3.69546041315451e-20
"59","Ncoa2","genotypeP2KO:group1",5.18466884311521e-31,-0.227789024420272,0.0184026916047278,3.753742284329e-35
"60","Cdk4","genotypeP2KO:group1",1.99436827123014e-12,0.170823428800436,0.0206799468148754,1.47862416313029e-16
"61","Hcn1","genotypeP2KO:group1",1.85232284094859e-13,-0.33439038379406,0.0391561511966476,1.37066955819786e-17
"62","Eif1b","genotypeP2KO:group1",5.29434695518226e-31,-0.223325431640761,0.0180445493165333,3.83342767010518e-35
"63","Ddah2","genotypeP2KO:group1",3.62760137361742e-17,0.173709811857842,0.0183269623136266,2.66304608252637e-21
"64","Clic1","genotypeP2KO:group1",5.77741789519001e-16,0.333635918652485,0.0363262642427255,4.25060174749118e-20
"65","Clic1","genotypeP2KO:group3",4.42389396106308e-19,-0.471920753524571,0.0475176425337833,3.1509216246888e-23
"66","Gabrb2","genotypeP2KO:group1",1.03676821649808e-51,-0.473520554163091,0.0300464658527309,7.42830276204111e-56
"67","Gabrb2","genotypeP2KO:group2",1.53867973506042e-19,0.403837828760099,0.040237025238782,1.09498984846315e-23
"68","Zmiz1","genotypeP2KO:group1",4.24515339433238e-11,0.161862984367545,0.0205245603687104,3.15906637470783e-15
"69","Hnrnpa0","genotypeP2KO:group1",1.54987391086712e-68,0.295557856633853,0.0163715112557546,1.10626260590087e-72
"70","Crlf1","genotypeP2KO:group1",1.41458127677985e-17,-1.21171403398649,0.126531920425364,1.03792007981499e-21
"71","Rps18","genotypeP2KO:group1",2.64651366811347e-12,0.0906778266468618,0.0110227591322125,1.96299782533264e-16
"72","Rpl30","genotypeP2KO:group1",9.32170006531246e-28,0.28297601181576,0.0240631405946275,6.7631865815225e-32
"73","Dynll1","genotypeP2KO:group1",2.93474259982669e-13,0.111955588708658,0.0131922404275617,2.1725959430165e-17
"74","Syn2","genotypeP2KO:group1",3.23480430968909e-16,0.339695142172042,0.0367366190731261,2.3788824163032e-20
"75","Syn2","genotypeP2KO:group6",1.25713871642759e-16,-0.554749277442524,0.0593228482004027,8.90766468098623e-21
"76","Cox6c","genotypeP2KO:group1",2.65938408826318e-11,0.146284791367377,0.0184130871319027,1.9779725461236e-15
"77","Adamtsl4","genotypeP2KO:group1",1.54947324758836e-71,1.29625753904534,0.0703241501730131,1.10558205322038e-75
"78","Lcorl","genotypeP2KO:group1",3.37554780697876e-11,0.173547751668978,0.0219266562548697,2.51156830876396e-15
"79","Mpped2","genotypeP2KO:group3",1.90714618750898e-24,0.22250722858039,0.0200489339038211,1.35518097598876e-28
"80","Rpl19","genotypeP2KO:group1",8.52499148062654e-13,-0.152926581509601,0.0182896006278807,6.31480850416781e-17
"81","Rbfox3","genotypeP2KO:group1",4.80388340959841e-19,0.164400608290789,0.016571628114852,3.51340847626593e-23
"82","Rhbdl3","genotypeP2KO:group1",3.47233728274857e-19,0.544163509252728,0.0546731997220503,2.53900064547278e-23
"83","Rhbdl3","genotypeP2KO:group4",4.02372270441156e-13,-0.547425003673055,0.0647486961060922,2.85532408771754e-17
"84","Rac3","genotypeP2KO:group1",1.50769116735962e-30,-0.414951019277948,0.0337583316109319,1.09213413064804e-34
"85","Gabarap","genotypeP2KO:group1",3.76446585924946e-12,0.133299081204833,0.0162877688874091,2.79325210302698e-16
"86","Wwc1","genotypeP2KO:group1",5.21749993351652e-20,0.177064486234342,0.0174615329086109,3.810619291204e-24
"87","Wwc1","genotypeP2KO:group3",2.65211305735394e-17,-0.321230073893993,0.0337636210066388,1.89098970221315e-21
"88","Sart3","genotypeP2KO:group1",1.7553096087333e-98,0.325913026499208,0.0151254303869576,1.24817578662682e-102
"89","Scrn1","genotypeP2KO:group1",2.21509038525798e-97,-1.06158289314712,0.0495399790570082,1.57534342170399e-101
"90","Lhx9","genotypeP2KO:group1",2.34433550954102e-11,0.841409222181751,0.105701236537109,1.74338923889419e-15
"91","Ubb","genotypeP2KO:group1",2.45748663664325e-20,0.166618118309836,0.0163132218037807,1.794309752222e-24
"92","Sema6a","genotypeP2KO:group3",6.21515898325661e-27,-0.654665527855494,0.0564369414188056,4.41417541424475e-31
"93","Akt3","genotypeP2KO:group1",2.87024312409453e-39,0.0999385936422207,0.00722888487503486,2.06819651541615e-43
"94","Aig1","genotypeP2KO:group1",1.08140056216351e-47,0.264710742397254,0.0174595310350003,7.76199082804702e-52
"95","Arfgef3","genotypeP2KO:group1",1.22304359626475e-40,-0.458077238998773,0.0326013809164101,8.80711166029202e-45
"96","Arfgef3","genotypeP2KO:group2",2.57376309851144e-16,0.480138708562922,0.0517695129382704,1.83460196629228e-20
"97","Abracl","genotypeP2KO:group1",7.67376706718883e-18,0.212578069359796,0.0220527905754245,5.62592893488917e-22
"98","Fabp7","genotypeP2KO:group1",3.17164738365917e-48,-0.190684732805949,0.012510457819037,2.27586637748218e-52
"99","Fabp7","genotypeP2KO:group3",2.83109293184519e-15,-0.183287805489365,0.020331935590266,2.02293171264394e-19
"100","Mgat4c","genotypeP2KO:group2",8.87254539725271e-25,0.539408866169263,0.0483058873870247,6.30510616632512e-29
"101","Zwint","genotypeP2KO:group1",1.52237755576538e-18,0.261342511378569,0.0266551588311394,1.11431529480704e-22
"102","Arid5b","genotypeP2KO:group1",1.84645897969777e-127,-1.19108076095071,0.0486848591396622,1.31028880194278e-131
"103","Arid5b","genotypeP2KO:group3",1.25028098960119e-16,0.695241491778833,0.0743478904862465,8.92165684031105e-21
"104","Arid5b","genotypeP2KO:group5",9.25679704505681e-17,0.731081870018545,0.0779094610412095,6.55766296759479e-21
"105","Kitl","genotypeP2KO:group1",4.74739964668305e-16,-0.489586128040759,0.0531836708904575,3.49253266143092e-20
"106","Sgk1","genotypeP2KO:group1",1.55251944313935e-22,-0.505730209096651,0.0472876298813059,1.13140900972114e-26
"107","Pde7b","genotypeP2KO:group2",2.07333496776453e-21,-1.44035807509953,0.137784879956537,1.47463368973295e-25
"108","Pde7b","genotypeP2KO:group3",2.06252045866114e-15,-1.84015139203303,0.203342531514959,1.47312367592396e-19
"109","Nuak1","genotypeP2KO:group1",2.13306453226853e-17,0.213564457316299,0.0224008904061081,1.56532217822597e-21
"110","Hsp90b1","genotypeP2KO:group3",1.23731115143455e-12,-0.297951492615766,0.0358058594616329,8.86072150841127e-17
"111","Csrp2","genotypeP2KO:group1",6.75743024111094e-21,0.172533337214562,0.0166886166352469,4.93279089065694e-25
"112","Cpeb4","genotypeP2KO:group1",6.63336509975712e-12,0.185446062615258,0.0228512227407594,4.92418164928893e-16
"113","Gabra1","genotypeP2KO:group1",1.44814963126153e-14,-1.00765091591289,0.114113243634469,1.06866624696445e-18
"114","Tspan13","genotypeP2KO:group1",2.83413391050295e-11,-0.178818377200642,0.0225305705216405,2.10810317651216e-15
"115","Laptm4a","genotypeP2KO:group1",6.3686099528063e-29,-0.200142097387769,0.0166997570729829,4.61694211454712e-33
"116","Lratd1","genotypeP2KO:group1",3.9443494857942e-86,-0.795902092245996,0.0394432929919957,2.80796574770001e-90
"117","Nrcam","genotypeP2KO:group1",1.48764873418535e-32,-0.279510536596536,0.0220771101922645,1.07582349883233e-36
"118","Nrcam","genotypeP2KO:group2",1.21141574505059e-31,0.364001717483457,0.0291292479010668,8.59342941796545e-36
"119","Nrcam","genotypeP2KO:group3",4.33931710378039e-14,0.271421027516729,0.0311616325227286,3.10328048614774e-18
"120","Myt1l","genotypeP2KO:group1",1.72008104522901e-31,-0.0986803033907599,0.00791564074934166,1.24517232172362e-35
"121","Myt1l","genotypeP2KO:group2",5.44862683109698e-39,0.25509053678076,0.0185119364507679,3.86044128602592e-43
"122","Myt1l","genotypeP2KO:group3",3.80146670312333e-12,0.282736660875068,0.0345348151017579,2.72447982736568e-16
