"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","group"
"GO:0006935","GO:0006935","chemotaxis","32/226","397/12463",1.06305032447828e-12,1.92675570197844e-09,1.55337045412691e-09,"21844/12317/20358/319504/19206/11658/18186/16842/13841/20346/70433/14388/18213/227541/18028/214968/93691/14268/23964/18750/12778/12215/13840/108699/211323/54712/19242/67263/19271/17967/243743/268902",32,1
"GO:0042330","GO:0042330","taxis","32/226","400/12463",1.30362361432912e-12,1.92675570197844e-09,1.55337045412691e-09,"21844/12317/20358/319504/19206/11658/18186/16842/13841/20346/70433/14388/18213/227541/18028/214968/93691/14268/23964/18750/12778/12215/13840/108699/211323/54712/19242/67263/19271/17967/243743/268902",32,1
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","31/226","389/12463",3.35498086555915e-12,3.30577447953095e-09,2.66514971214945e-09,"18519/21844/13047/17260/18186/14828/16403/16438/23965/75104/18213/19317/116838/227541/19266/14268/21413/211323/192167/545156/331461/104156/14348/13048/11682/19283/54712/19242/12043/243743/268902",31,1
"GO:0061564","GO:0061564","axon development","33/226","445/12463",4.54208370097921e-12,3.35659985502363e-09,2.70612565763603e-09,"21844/20358/319504/19206/11658/18186/13841/20346/70433/233781/18213/18028/214968/93691/14268/23964/241568/18750/12215/13840/108699/211323/12386/545156/23945/19283/54712/19242/67263/12043/17967/243743/268902",33,1
"GO:0050769","GO:0050769","positive regulation of neurogenesis","34/226","476/12463",5.92041609384326e-12,3.50014999468014e-09,2.82185727083393e-09,"18519/21844/13047/17260/20358/18186/14828/16403/20346/16438/23965/75104/18213/19317/116838/227541/19266/14268/21413/211323/192167/545156/331461/104156/14348/13048/11682/19283/20238/54712/19242/12043/243743/268902",34,1
"GO:0007409","GO:0007409","axonogenesis","31/226","407/12463",1.08769151246034e-11,4.77255174566301e-09,3.84768077493806e-09,"21844/20358/319504/19206/11658/18186/13841/20346/70433/18213/18028/214968/93691/14268/23964/241568/18750/12215/13840/108699/211323/12386/545156/23945/19283/54712/67263/12043/17967/243743/268902",31,1
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","27/226","309/12463",1.13017125235592e-11,4.77255174566301e-09,3.84768077493806e-09,"21844/12317/13047/20358/18186/13841/20346/70433/18213/210933/19266/214968/14268/241568/108699/68732/211323/192167/545156/331461/13048/23945/19283/54712/67263/243743/268902",27,1
"GO:0098609","GO:0098609","cell-cell adhesion","34/226","498/12463",2.06315152159775e-11,7.62334487230367e-09,6.1460197959175e-09,"319504/66214/11658/58998/16403/16449/16842/13841/12527/23965/227937/320873/16008/19266/14924/14268/23964/241568/18750/269023/19091/268860/12215/23859/192167/23888/331461/14348/208936/12564/12043/17967/268902/269152",34,1
"GO:0010976","GO:0010976","positive regulation of neuron projection development","26/226","317/12463",1.14540297539158e-10,3.76201243917502e-08,3.0329734927328e-08,"18519/21844/13047/18186/14828/16403/16438/23965/18213/19317/116838/227541/19266/14268/211323/192167/545156/331461/14348/13048/11682/19283/54712/19242/243743/268902",26,1
"GO:0050803","GO:0050803","regulation of synapse structure or activity","22/226","242/12463",4.83176008035408e-10,1.42826827975267e-07,1.15148471809702e-07,"13004/21844/17260/319504/223254/13841/140919/234267/18213/210933/19266/18750/192167/12386/545156/23888/331461/104156/13048/12564/19242/72289",22,1
"GO:0007411","GO:0007411","axon guidance","20/226","203/12463",7.52559634546212e-10,1.82201988776303e-07,1.46893135314276e-07,"20358/319504/19206/11658/18186/13841/20346/70433/18028/214968/93691/23964/12215/13840/108699/54712/67263/17967/243743/268902",20,1
"GO:0097485","GO:0097485","neuron projection guidance","20/226","204/12463",8.21120707316816e-10,1.82201988776303e-07,1.46893135314276e-07,"20358/319504/19206/11658/18186/13841/20346/70433/18028/214968/93691/23964/12215/13840/108699/54712/67263/17967/243743/268902",20,1
"GO:0031346","GO:0031346","positive regulation of cell projection organization","28/226","400/12463",8.25634564835891e-10,1.82201988776303e-07,1.46893135314276e-07,"18519/21844/13047/18186/14828/16403/16438/234267/23965/18213/19317/116838/227541/19266/14268/68732/211323/192167/545156/331461/14348/13048/11682/19283/54712/19242/243743/268902",28,1
"GO:0022604","GO:0022604","regulation of cell morphogenesis","30/226","456/12463",8.62932287844466e-10,1.82201988776303e-07,1.46893135314276e-07,"21844/12317/13047/20358/18186/13841/20346/70433/18213/210933/116838/19266/214968/14268/241568/108699/68732/211323/192167/545156/331461/13823/13048/23945/19283/54712/19242/67263/243743/268902",30,1
"GO:0050807","GO:0050807","regulation of synapse organization","21/226","233/12463",1.43253296138388e-09,2.82304495590051e-07,2.27596815759517e-07,"13004/21844/17260/319504/223254/13841/234267/18213/210933/19266/18750/192167/12386/545156/23888/331461/104156/13048/12564/19242/72289",21,1
"GO:0034329","GO:0034329","cell junction assembly","24/226","317/12463",3.1239972629238e-09,5.77158494325172e-07,4.65311171267071e-07,"14395/17260/223254/18186/13841/12527/234267/227937/18213/320873/210933/19266/14268/18750/211323/192167/23888/331461/13823/13048/12564/19271/12043/19272",24,1
"GO:0050808","GO:0050808","synapse organization","27/226","406/12463",5.15025746537152e-09,8.9553888633166e-07,7.21992749325147e-07,"14395/13004/21844/17260/319504/223254/18186/13841/230157/234267/18213/210933/19266/18027/241568/18750/211323/192167/12386/545156/23888/331461/104156/13048/12564/19242/72289",27,1
"GO:0030155","GO:0030155","regulation of cell adhesion","29/226","486/12463",1.53756691043863e-08,2.52502654847588e-06,2.0357026229433e-06,"12317/20358/66214/18186/16403/16449/16842/13841/12527/23965/16008/14924/14268/18750/269023/19091/268860/17931/68732/14348/19283/208936/54712/19242/228564/19271/12043/243743/269152",29,1
"GO:0050770","GO:0050770","regulation of axonogenesis","17/226","187/12463",4.93545889796568e-08,7.67853500125609e-06,6.19051465096638e-06,"21844/20358/18186/13841/20346/70433/18213/214968/14268/241568/108699/211323/23945/54712/67263/243743/268902",17,1
"GO:0050920","GO:0050920","regulation of chemotaxis","15/226","149/12463",8.07066900418592e-08,1.19284487881868e-05,9.6168392765668e-06,"21844/12317/20358/18186/20346/18213/227541/214968/14268/18750/19242/67263/19271/243743/268902",15,1
"GO:0042391","GO:0042391","regulation of membrane potential","23/226","349/12463",8.98310248251441e-08,1.26447861611012e-05,1.01943579049687e-05,"338370/14395/17260/114584/319504/72978/68197/12293/18213/320127/116838/109676/268860/192167/56543/13048/20541/20238/238161/14167/19242/12043/98496",23,1
"GO:0016358","GO:0016358","dendrite development","20/226","277/12463",1.5021965855359e-07,2.01840595765642e-05,1.62725984193937e-05,"21844/13047/17260/223254/18186/20346/210933/227541/19266/93691/19091/211323/192167/12386/545156/331461/13048/11682/19283/19242",20,1
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","15/226","159/12463",1.90997579945667e-07,2.45473411443214e-05,1.97903213270934e-05,"21844/12317/13047/18186/18213/19266/14268/68732/211323/545156/331461/13048/54712/243743/268902",15,1
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","14/226","143/12463",3.12545397313896e-07,3.84951747691615e-05,3.10352096280114e-05,"319504/11658/58998/23965/320873/19266/23964/241568/12215/192167/23888/331461/12564/268902",14,1
"GO:0007416","GO:0007416","synapse assembly","14/226","146/12463",4.03974485350592e-07,4.77659431478539e-05,3.85093993614206e-05,"14395/17260/223254/13841/234267/18213/210933/19266/18750/211323/192167/23888/331461/13048",14,1
"GO:0048813","GO:0048813","dendrite morphogenesis","15/226","169/12463",4.23473524985765e-07,4.81456823022277e-05,3.88155490108409e-05,"21844/13047/223254/18186/20346/210933/19266/93691/192167/12386/545156/331461/13048/19283/19242",15,1
"GO:0051963","GO:0051963","regulation of synapse assembly","11/226","90/12463",6.46622283731853e-07,7.07931655819022e-05,5.70741851995679e-05,"17260/223254/13841/18213/210933/19266/18750/192167/23888/331461/13048",11,1
"GO:0030335","GO:0030335","positive regulation of cell migration","23/226","403/12463",1.14631706404423e-06,0.000121018330046955,9.75662343231629e-05,"21844/12317/20358/18186/14828/16403/16842/20346/14388/11980/18213/227541/214968/14268/18750/12778/12215/68732/20541/19283/19242/19271/12043",23,1
"GO:1900006","GO:1900006","positive regulation of dendrite development","11/226","99/12463",1.69807774249228e-06,0.000173086820924385,0.000139544392341289,"21844/13047/19266/211323/192167/545156/331461/13048/11682/19283/19242",11,1
"GO:2000147","GO:2000147","positive regulation of cell motility","23/226","414/12463",1.81690710296528e-06,0.000179025913212179,0.000144332550214505,"21844/12317/20358/18186/14828/16403/16842/20346/14388/11980/18213/227541/214968/14268/18750/12778/12215/68732/20541/19283/19242/19271/12043",23,1
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","7/226","35/12463",2.56441467684704e-06,0.000234209815769042,0.000188822385478638,"11658/58998/23965/19266/23964/192167/331461",7,1
"GO:0071526","GO:0071526","semaphorin-plexin signaling pathway","7/226","35/12463",2.56441467684704e-06,0.000234209815769042,0.000188822385478638,"20358/18186/20346/214968/54712/17967/243743",7,1
"GO:0040017","GO:0040017","positive regulation of locomotion","23/226","423/12463",2.61465626535128e-06,0.000234209815769042,0.000188822385478638,"21844/12317/20358/18186/14828/16403/16842/20346/14388/11980/18213/227541/214968/14268/18750/12778/12215/68732/20541/19283/19242/19271/12043",23,1
"GO:0040013","GO:0040013","negative regulation of locomotion","17/226","251/12463",3.20354135037465e-06,0.000277587169582195,0.000223793658547857,"12317/17260/20358/66214/18186/16449/20346/214968/19091/211323/56363/19242/228564/19271/12043/268902/19272",17,1
"GO:0048638","GO:0048638","regulation of developmental growth","19/226","308/12463",3.33275683000851e-06,0.000277587169582195,0.000223793658547857,"17260/211652/20358/19206/18186/13841/20346/70433/18213/116838/214968/22762/14268/211323/23945/238161/12043/17967/243743",19,1
"GO:0051271","GO:0051271","negative regulation of cellular component movement","17/226","252/12463",3.38062858760455e-06,0.000277587169582195,0.000223793658547857,"12317/17260/20358/66214/18186/16449/20346/12527/214968/19091/211323/56363/19242/228564/19271/12043/19272",17,1
"GO:0051272","GO:0051272","positive regulation of cellular component movement","23/226","432/12463",3.72143044865189e-06,0.000297312119086891,0.000239696117659968,"21844/12317/20358/18186/14828/16403/16842/20346/14388/11980/18213/227541/214968/14268/18750/12778/12215/68732/20541/19283/19242/19271/12043",23,1
"GO:0050773","GO:0050773","regulation of dendrite development","14/226","179/12463",4.66595674137063e-06,0.000362962319144515,0.000292623990649948,"21844/13047/17260/210933/227541/19266/211323/192167/545156/331461/13048/11682/19283/19242",14,1
"GO:0061387","GO:0061387","regulation of extent of cell growth","11/226","113/12463",6.27119334523586e-06,0.000475324295603005,0.000383211382823589,"20358/18186/13841/20346/70433/18213/214968/14268/211323/23945/243743",11,1
"GO:0042063","GO:0042063","gliogenesis","17/226","266/12463",6.97503656916612e-06,0.000515455202461376,0.00041556533664716,"21844/22066/16842/12527/20678/18213/19317/18028/14268/236539/211323/104156/19283/20238/494504/19242/19271",17,1
"GO:0010543","GO:0010543","regulation of platelet activation","6/226","27/12463",7.16023818456961e-06,0.000516235709111897,0.000416194589213494,"12527/18750/19091/268860/208936/19271",6,1
"GO:1901888","GO:1901888","regulation of cell junction assembly","13/226","163/12463",8.30393358618158e-06,0.000584438754303637,0.000471180592459025,"17260/223254/18186/13841/18213/210933/19266/18750/192167/23888/331461/13048/19271",13,1
"GO:0090330","GO:0090330","regulation of platelet aggregation","5/226","17/12463",9.71677908427427e-06,0.000667972069142203,0.000538526018281443,"12527/18750/19091/268860/208936",5,1
"GO:0030516","GO:0030516","regulation of axon extension","10/226","101/12463",1.43275546072603e-05,0.000962551168615036,0.000776018747149221,"20358/18186/20346/70433/18213/214968/14268/211323/23945/243743",10,1
"GO:0008038","GO:0008038","neuron recognition","7/226","46/12463",1.72298835861169e-05,0.00113181190845692,0.00091247851319225,"319504/18186/20346/12215/19283/17967/268902",7,1
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","16/226","258/12463",1.89966785862457e-05,0.00120886826866543,0.000974602150936022,"66214/16403/16449/16842/13841/12527/23965/16008/14924/18750/269023/19091/268860/14348/208936/269152",16,1
"GO:0048588","GO:0048588","developmental cell growth","15/226","230/12463",1.92972219917284e-05,0.00120886826866543,0.000974602150936022,"21844/20358/18186/13841/20346/70433/18213/116838/214968/14268/19091/211323/23945/238161/243743",15,1
"GO:0099173","GO:0099173","postsynapse organization","13/226","177/12463",2.0173989654066e-05,0.00120886826866543,0.000974602150936022,"21844/319504/223254/18186/13841/18213/19266/192167/545156/331461/104156/13048/19242",13,1
