gene_short_name,term,q_value,estimate,std_err
Rrs1,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.59510594774299e-86,-0.339833371660479,0.016766832054152098
3110035E14Rik,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,3.30068635280277e-91,2.14935201518571,0.10332951571192001
Snhg6,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,0,-0.92429735916607803,0.015238953251076199
Snhg6,genotypePantr2_KO:assigned_cell_typeDifferentiating Progenitors,1.0661732037895101e-24,0.26286170325106001,0.023578941232141399
Prex2,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.84655272247328e-42,1.6533918428846099,0.11518070258556599
Mcm3,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,6.6091191976091699e-96,-0.55922988717965505,0.026227255205693599
Tmem14a,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.74861727582963e-12,0.25911624742932898,0.031373493209105402
Sdhaf4,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,4.6255601965960497e-24,0.194312879337143,0.017646201232694999
Cox5b,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.2069122084103001e-49,0.094913975904074799,0.0061356261389563203
1500015O10Rik,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,2.8132162849174801e-13,0.55748466817828601,0.065774354876249899
Tex30,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,6.3132585234004402e-24,-0.28468244625418698,0.025919352924538602
Wdr75,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,2.4977366440616599e-15,-0.22944658038999899,0.0254600384838937
Myo1b,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,5.72692705937806e-46,-0.64350556398963699,0.043161604130092401
Sf3b1,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.91320886400293e-16,-0.102961646329832,0.0110817837140713
Hspd1,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.07826919410636e-209,-0.23008446521647,0.0073021070931928202
Sgol2a,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.3449136806117e-16,-0.36122955323987799,0.038722468310022698
Bzw1,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.12331973989664e-104,-0.21600171674012,0.0097016333624189398
Ndufb3,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.03618359008738e-11,0.082277686029084002,0.010229947804762
Nop58,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,1.8329486961700299e-45,-0.22267257922324599,0.015014385429306099
Wdr12,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,2.5694107517287902e-12,-0.17274855984186199,0.021034183950862002
Adam23,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,4.1478419006028397e-14,0.86862768692345804,0.099877159868879697
Rpe,genotypePantr2_KO:assigned_cell_typeCycling Progenitors,3.18287567280649e-168,-0.82849390271245804,0.029377331768126801
