ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,33/857,98/23843,1.69288995752785e-23,7.7381999958598001e-20,6.2102331599837397e-20,Rpl31/Zc3h15/Rps21/Rpl39/Eif2s3x/Rpl22l1/Rps3a1/Rps20/Rplp0/Rpl6/Rpl18/Rpl27a/Eif4ebp1/Gm8730/Gm10073/Rpl15/Dph3/Rplp1/Rpl29/Rpl26/Rpl38/Rps23/Rps29/Rpl30/Gm10020/Rpl8/Rpl35a/Rpl24/Rps2/Rpl36/Eif2s3y/Rpl17/Rpl9-ps6,33
GO:0046034,ATP metabolic process,43/857,221/23843,8.6445074817183796e-20,1.9757021849467401e-16,1.5855846617783499e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,43
GO:0009205,purine ribonucleoside triphosphate metabolic process,45/857,247/23843,1.8317251329904699e-19,2.7909385276331498e-16,2.2398463468322102e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,45
GO:0009199,ribonucleoside triphosphate metabolic process,45/857,251/23843,3.5410777903436201e-19,3.3710856217206301e-16,2.7054389553584801e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,45
GO:0009141,nucleoside triphosphate metabolic process,47/857,274/23843,3.6874705991256098e-19,3.3710856217206301e-16,2.7054389553584801e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Suclg1/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Dctpp1/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,47
GO:0009144,purine nucleoside triphosphate metabolic process,45/857,256/23843,7.9164335083689898e-19,6.0310029277924397e-16,4.8401352239764797e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,45
GO:0006091,generation of precursor metabolites and energy,52/857,342/23843,1.11872958837036e-18,6.5360188038461098e-16,5.2454318487037798e-16,Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Pgk1/Adh5/Ndufb6/Vcp/Uqcrh/Stk40/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Hk2/Chchd4/Tpi1/Gapdh/Gpi1/Bax/Ldha/Ndufc2/Mif/S100b/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Acat1/Idh3a/Pkm/Cyb5r4/Uqcrc1/Mdh1/Mybbp1a/Aldoc/Prelid1/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ppp1r1a/Atp5o/Ndufv2/Pgam1/Ndufb8,52
GO:0009167,purine ribonucleoside monophosphate metabolic process,44/857,247/23843,1.1439105322854699e-18,6.5360188038461098e-16,5.2454318487037798e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,44
GO:0009126,purine nucleoside monophosphate metabolic process,44/857,248/23843,1.3439888416302199e-18,6.82596999454639e-16,5.4781299568202703e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,44
GO:0009161,ribonucleoside monophosphate metabolic process,44/857,251/23843,2.1685130151500801e-18,9.9122729922510196e-16,7.95501879768214e-16,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,44
