"","seqnames","start","end","width","strand","Conc","Conc_Pantr2KO","Conc_WT","Fold","p.value","FDR"
"1","chr14",118358333,118358533,201,"*",5.38215965188673,6.26716081264559,2.67596698865348,0.559203174433448,1.67021671110544e-08,0.000564032183340309
"2","chr9",104042348,104042548,201,"*",4.91161567924476,5.82568873935305,1.79935339969044,0.484339448326602,4.94291710778781e-08,0.000834611553649972
"3","chr14",73110827,73111027,201,"*",4.89990554746103,5.78525658126257,2.18948954733861,0.450618000341315,5.87536791094924e-07,0.00524968183729302
"4","chr6",73644991,73645191,201,"*",4.88479631293455,5.74651723600483,2.43309738163553,0.47956327821202,6.21816030475928e-07,0.00524968183729302
"5","chr14",79313877,79314077,201,"*",5.57952539425543,6.35308562133677,3.7962189972838,0.518570402443028,2.33126245627335e-06,0.0157453466296702
"6","chr9",103687251,103687451,201,"*",5.49401762695482,6.22676898672811,3.92994360044258,0.468767568792381,2.09579837523873e-05,0.11795851855302
"7","chr6",128803148,128803348,201,"*",6.47858056245487,4.7319166390038,7.24582003142667,-0.431139240337493,2.89606759550748e-05,0.139714575286125
"8","chr16",72699384,72699584,201,"*",6.47718993278601,7.14756994964563,5.18562573353794,0.455453822309964,7.90797459190128e-05,0.330758008338595
"9","chr3",21479356,21479556,201,"*",5.81733444874899,6.54016701890638,4.30103201933652,0.416852592895522,8.81498985800224e-05,0.330758008338595
"10","chr6",105677548,105677748,201,"*",5.95223639995641,6.6344448954675,4.61364230625811,0.423693284675603,0.000140453545816318,0.474311624221706
"11","chr6",54760264,54760464,201,"*",5.37464588326288,6.05667683318862,4.03677206222988,0.409457384840358,0.000190706264923743,0.544819153705234
"12","chr6",128799523,128799723,201,"*",4.36872508852548,2.47401590009741,5.16039098566673,-0.337396786145783,0.000193598751686787,0.544819153705234
"13","chr13",109350250,109350450,201,"*",6.16040457650749,6.80231864601843,4.9746743777103,0.416521107670823,0.000280925349683301,0.589812955423658
"14","chr9",85864168,85864368,201,"*",4.68165280815296,5.42885016483385,3.04441386449153,0.327845958438001,0.000502434208577075,0.589812955423658
"15","chr1",9601446,9601646,201,"*",5.07704844417505,5.74871936338168,3.78044401703964,0.372012136991098,0.000512491362638275,0.589812955423658
"16","chr9",104014631,104014831,201,"*",5.3052576720178,5.9841086206718,3.98020918936624,0.360809477770299,0.000583279798822305,0.589812955423658
"17","chr14",99348449,99348649,201,"*",4.86770938777681,5.55985448660749,3.48807416740508,0.343637454021801,0.000732949645024489,0.589812955423658
"18","chr9",121023584,121023784,201,"*",5.5004121766561,6.12646053659615,4.36963007347406,0.377120849921171,0.000777089990046607,0.589812955423658
"19","chr3",51199145,51199345,201,"*",4.88730010351825,5.56588228131027,3.56332911119183,0.340084360574351,0.000910486970307228,0.589812955423658
"20","chr1",66569821,66570021,201,"*",4.13537056520716,4.86824627677306,2.57068534890126,0.290423990458742,0.00138905821786024,0.589812955423658
"21","chr3",50733344,50733544,201,"*",3.49942203041101,4.33544719067726,1.28099107273629,0.224121030662767,0.00169934233202424,0.589812955423658
"22","chr16",50700212,50700412,201,"*",5.35033396940389,5.99004693749646,4.17238972960804,0.329960289224294,0.0017598968717337,0.589812955423658
"23","chr9",100194894,100195094,201,"*",5.84422783127403,6.41473955795341,4.88673145741171,0.354296632190792,0.00213137664595077,0.589812955423658
"24","chr8",44745840,44746040,201,"*",4.04825798103634,4.76275190845668,2.57068534890126,0.273862287119101,0.00242268084691924,0.589812955423658
"25","chr6",55120136,55120336,201,"*",4.72426777360396,5.35699418098361,3.57068534890126,0.314711309902633,0.00248014722167676,0.589812955423658
"26","chr1",58304460,58304660,201,"*",4.87578072061479,5.50744376239569,3.7258601734764,0.315267885021425,0.00254152415374576,0.589812955423658
"27","chr2",118554759,118554959,201,"*",4.5231191969784,5.17330170237424,3.30765094306747,0.304556534422913,0.00256612585494427,0.589812955423658
"28","chr9",35740838,35741038,201,"*",5.36198397972956,5.9804987076938,4.25637489017518,0.32028498940237,0.00262307447651121,0.589812955423658
"29","chr14",118089296,118089496,201,"*",5.77554215531097,6.36833489758447,4.75179316270839,0.331811465704107,0.00267315556256453,0.589812955423658
"30","chr6",116694354,116694554,201,"*",4.61084258055399,5.24935352143841,3.43712761652603,0.306070799461681,0.0028128523186195,0.589812955423658
"31","chr1",19850018,19850218,201,"*",5.80096689168345,6.4040155945885,4.74530672791667,0.321341941893541,0.00295509332949838,0.589812955423658
"32","chr8",31799773,31799973,201,"*",5.08661824689393,5.69372817119397,4.01805988235669,0.318060588680005,0.00303725810592718,0.589812955423658
"33","chr9",120303745,120303945,201,"*",4.81386218994051,5.42497702737045,3.73243443269176,0.311266753145449,0.00329442815007383,0.589812955423658
"34","chr1",13683180,13683380,201,"*",4.90547710705297,3.83254802724015,5.51395244071172,-0.308400494013082,0.00349968477111996,0.589812955423658
"35","chrX",22999189,22999389,201,"*",4.62511692092592,5.24843289345245,3.50353094246115,0.297112126084661,0.00380723919392281,0.589812955423658
"36","chr1",165935078,165935278,201,"*",5.80292199888232,6.37093404463393,4.85261022882474,0.320617511915824,0.00405846601718711,0.589812955423658
"37","chr14",118956551,118956751,201,"*",4.60571331180334,5.22202176698037,3.50736939895542,0.295423837159789,0.00419042113512498,0.589812955423658
"38","chr14",73474146,73474346,201,"*",5.82901704632385,6.38856435036969,4.90268186754071,0.322480371040192,0.00421069931307571,0.589812955423658
"39","chr10",74855349,74855549,201,"*",4.86236117454964,5.50638151648004,3.66912968639194,0.282789524796803,0.00422879681561531,0.589812955423658
"40","chr14",69823534,69823734,201,"*",4.49450393822934,3.22963584437838,5.15795111331528,-0.271958877571611,0.0043381195381973,0.589812955423658
"41","chr9",102243380,102243580,201,"*",7.0390111030896,7.66266436104352,5.91629406264879,0.289958568248842,0.00435426726043266,0.589812955423658
"42","chr4",24942835,24943035,201,"*",4.60158993473417,5.24091763447784,3.4250029778405,0.283022311866199,0.00438277814956097,0.589812955423658
"43","chr12",105898997,105899197,201,"*",5.66259533325135,6.2362168191798,4.69609308253936,0.313042385654008,0.00446219691809041,0.589812955423658
"44","chr9",99568647,99568847,201,"*",5.82294878768517,6.37093404463393,4.92851287326207,0.320883210091089,0.00475790525411889,0.589812955423658
"45","chr4",62208446,62208646,201,"*",6.4448045445403,6.99582902806396,5.5420762313382,0.317593587835618,0.00491278388467362,0.589812955423658
"46","chr4",58508851,58509051,201,"*",5.02569160354406,5.59627207937321,4.06799694745138,0.303318338556277,0.00541574522267935,0.589812955423658
"47","chr2",134189834,134190034,201,"*",5.08249039458394,5.66205623106878,4.09856031103581,0.296429022957346,0.00570756062060443,0.589812955423658
"48","chr3",119333768,119333968,201,"*",5.65197057835949,6.25291981229994,4.60291916762365,0.283628344465092,0.00601929291162369,0.589812955423658
"49","chr2",106695168,106695368,201,"*",5.17508554448565,5.72943812373414,4.26320140820927,0.303109435814792,0.00618066252656618,0.589812955423658
"50","chr11",66188743,66188943,201,"*",3.9284489056046,4.61356273645551,2.57800426768957,0.241064836563757,0.00623555275926155,0.589812955423658
"51","chr4",12506859,12507059,201,"*",5.17016488068493,5.72273240347996,4.26320140820927,0.300575694757706,0.0065338661183071,0.589812955423658
"52","chr6",15743413,15743613,201,"*",4.60867674371862,5.20608392633606,3.57068534890126,0.279267837972999,0.0065487539409861,0.589812955423658
"53","chr15",99099173,99099373,201,"*",5.63636576316142,4.78310956494765,6.16889819017817,-0.308984742304916,0.00663329566531244,0.589812955423658
"54","chr5",55355647,55355847,201,"*",5.40692567534006,5.94771896296014,4.53185663593683,0.304498116203954,0.00668702125553228,0.589812955423658
"55","chr7",139310550,139310750,201,"*",5.3838294358969,5.9548020907981,4.4250029778405,0.289029532749768,0.00693240996013186,0.589812955423658
"56","chr11",105507984,105508184,201,"*",5.83353436069783,6.4151498260111,4.84352912711932,0.283761123479179,0.0070161564615013,0.589812955423658
"57","chr6",123697290,123697490,201,"*",4.89269258041781,5.46600777132499,3.92708072581436,0.285669625899075,0.00720226839120464,0.589812955423658
"58","chr9",92613293,92613493,201,"*",4.17958305219206,4.82838957385392,2.96911825028364,0.251566287326185,0.00721205573692858,0.589812955423658
"59","chr5",133365835,133366035,201,"*",4.4134797617954,5.03605235641365,3.29438258870667,0.263143181865675,0.0072837904813395,0.589812955423658
"60","chr3",37672687,37672887,201,"*",5.30007573101228,5.83400921143528,4.4431519372075,0.301582619418728,0.00739294295462975,0.589812955423658
"61","chr13",113269908,113270108,201,"*",4.79108044251005,5.37537655236355,3.79307777023771,0.277565023880397,0.00747047166448288,0.589812955423658
"62","chr4",44168199,44168399,201,"*",6.26679077225174,6.79956851413107,5.41289333309839,0.301604814525929,0.00748212557542665,0.589812955423658
"63","chr11",118438963,118439163,201,"*",6.61079054714439,7.17757821670792,5.66398036040901,0.283749161865471,0.00781876727250158,0.589812955423658
"64","chr5",101962944,101963144,201,"*",4.96912099295895,5.55408440790404,3.96911825028364,0.275196237927039,0.00784337249045502,0.589812955423658
"65","chr9",14245163,14245363,201,"*",5.45906058596079,6.01757282397,4.53562056094691,0.285658415458999,0.00797298250170295,0.589812955423658
"66","chr13",76384604,76384804,201,"*",5.27110307553039,5.81015081587947,4.4006811818077,0.292509810443242,0.00834528725042016,0.589812955423658
"67","chr8",17313654,17313854,201,"*",3.95214214844384,4.6149920337138,2.68954514316132,0.235891656274871,0.00846768656719709,0.589812955423658
"68","chr13",109347895,109348095,201,"*",5.45023418615107,5.99953238923525,4.55222394325919,0.282151514416541,0.00918882589716295,0.589812955423658
"69","chr15",99030140,99030340,201,"*",5.83339762364196,5.00582155268578,6.35598055899373,-0.294353171711608,0.00920781086422652,0.589812955423658
"70","chr1",186117203,186117403,201,"*",5.93000477921025,6.44468214519736,5.12238934133284,0.295856524553803,0.00942295276219371,0.589812955423658
"71","chr3",21524544,21524744,201,"*",5.8828079905633,6.41920476441939,5.01940454533558,0.280525872267898,0.0102874475963594,0.589812955423658
"72","chr17",31806135,31806335,201,"*",4.29379582667203,4.90191202265886,3.22201804226893,0.249451721037634,0.0103395156253414,0.589812955423658
"73","chr6",7215904,7216104,201,"*",5.08409363842432,5.61910021439062,4.22435202146797,0.281360332283534,0.0103489801838487,0.589812955423658
"74","chrX",140599176,140599376,201,"*",5.17453711211157,5.70149826105841,4.33573872523518,0.284612726325167,0.0103647593737342,0.589812955423658
"75","chr1",186482269,186482469,201,"*",4.4955990621018,5.0766166802264,3.50736939895542,0.258513081025335,0.0108212206344522,0.589812955423658
"76","chr13",109490935,109491135,201,"*",3.79625413794463,4.48834119488731,2.41686290311454,0.20999434812166,0.0110425586041562,0.589812955423658
"77","chr15",98108377,98108577,201,"*",5.27756952947521,5.82212933251341,4.3924023158269,0.272790497295958,0.0111645613211134,0.589812955423658
"78","chr19",33049096,33049296,201,"*",4.51290441421764,5.10478334757291,3.49195391397627,0.251670421826396,0.0111985503258698,0.589812955423658
"79","chrX",57393004,57393204,201,"*",5.92986162564425,6.43650905684246,5.14213263051499,0.287922116992199,0.0113266832814066,0.589812955423658
"80","chr10",111390000,111390200,201,"*",5.02322307207389,5.58399148641427,4.09346219259713,0.26477743018834,0.0113614005528628,0.589812955423658
"81","chr6",122819894,122820094,201,"*",5.36602429506326,5.89338632669038,4.52619227179996,0.276759389748977,0.0117329924388399,0.589812955423658
"82","chr18",10029970,10030170,201,"*",6.27418594281544,6.76230702449447,5.53091411831975,0.292551700888553,0.0119190965156394,0.589812955423658
"83","chr15",68435963,68436163,201,"*",4.16584761206993,4.78438045425592,3.06017867523792,0.236913526608514,0.011945853686614,0.589812955423658
"84","chr13",94037713,94037913,201,"*",4.51127325018608,5.12388298438185,3.4250029778405,0.239703838846464,0.0120139826209789,0.589812955423658
"85","chr15",98985755,98985955,201,"*",6.41957815791737,5.65572368230345,6.91637712658698,-0.287207145043235,0.0121449259696916,0.589812955423658
"86","chr5",30711750,30711950,201,"*",5.67180505086535,6.1683749401743,4.90849931116935,0.287337613983061,0.0122456590390285,0.589812955423658
"87","chr3",70223666,70223866,201,"*",4.39278600754659,5.0131678642995,3.28099107273629,0.234285035364077,0.0122861283307948,0.589812955423658
"88","chr17",42876524,42876724,201,"*",6.33577743072428,6.81553104264003,5.61196321996086,0.292461540325147,0.01254675029558,0.589812955423658
"89","chr7",27508015,27508215,201,"*",6.29090102850572,6.77188435160863,5.56425069480233,0.290624308462329,0.0128330811229635,0.589812955423658
"90","chr14",72149592,72149792,201,"*",4.47768114984761,5.08606680302113,3.40503967363959,0.235178311872686,0.0128675276929982,0.589812955423658
"91","chr14",14633091,14633291,201,"*",4.64031327105418,5.21436729164517,3.67255238798531,0.251729712290871,0.0129010830331262,0.589812955423658
"92","chr5",120194659,120194859,201,"*",5.57992384267666,6.07856544847382,4.8116447315953,0.282653651605841,0.012950738958679,0.589812955423658
"93","chr9",32646958,32647158,201,"*",4.08020656755475,4.69533685874605,2.9857228481801,0.23231276547912,0.0131099832463047,0.589812955423658
"94","chr2",82847679,82847879,201,"*",3.72478150311179,4.39519230027842,2.43309738163553,0.208941644755788,0.0132239534011673,0.589812955423658
"95","chr13",93753091,93753291,201,"*",5.00094037617099,5.53606144215759,4.14089767275525,0.265950639975056,0.0133073174009374,0.589812955423658
"96","chr10",18482894,18483094,201,"*",4.59570588946334,5.17463968531609,3.61364230625811,0.246572677428485,0.013344722676362,0.589812955423658
"97","chr1",153180641,153180841,201,"*",4.0731946241855,4.68617425022052,2.9857228481801,0.231222341686084,0.0135258785053697,0.589812955423658
"98","chr8",107436457,107436657,201,"*",5.25397396466394,5.77232629244196,4.43712761652603,0.271013791221207,0.0136149004990728,0.589812955423658
"99","chr10",72099469,72099669,201,"*",4.39412858327464,4.99059760796819,3.35904790958131,0.238838427906145,0.0136607622083561,0.589812955423658
"100","chr2",65979768,65979968,201,"*",5.39411868460251,5.90864044703151,4.58689228053233,0.27265392907416,0.013693857929583,0.589812955423658
"101","chr6",47788355,47788555,201,"*",6.0026123722082,6.50682018795711,5.22084963518151,0.276521372668598,0.0137612789024119,0.589812955423658
"102","chr3",25807604,25807804,201,"*",4.99387923553317,5.54218925943948,4.09856031103581,0.257455718130213,0.0138472026680049,0.589812955423658
"103","chr15",83127135,83127335,201,"*",5.30416006031884,5.84723990236737,4.42297226090522,0.25975154127607,0.0139175408624167,0.589812955423658
"104","chr4",13833030,13833230,201,"*",4.23102227882157,4.84784785867322,3.1309797682715,0.228608761767475,0.0140118264962574,0.589812955423658
"105","chr12",104864911,104865111,201,"*",4.91179431893109,5.43868182958305,4.07318568943044,0.265865626225737,0.014045720264717,0.589812955423658
"106","chr6",148589066,148589266,201,"*",4.35909166075866,4.93981422192437,3.37173722361734,0.242390079843369,0.0142651956205628,0.589812955423658
"107","chr5",111123410,111123610,201,"*",4.24655683020403,4.83960704411014,3.22201804226893,0.236209875084768,0.0144236199337992,0.589812955423658
"108","chr11",36109585,36109785,201,"*",6.31214097799458,6.81268773979333,5.53926682045115,0.275278243698078,0.0144246267578211,0.589812955423658
"109","chr9",112454817,112455017,201,"*",4.44992127509881,5.01790792673201,3.49968224606031,0.246764185598524,0.0144656921586555,0.589812955423658
"110","chr17",56536267,56536467,201,"*",5.81941948457545,6.31374065311279,5.06148466643502,0.277348607051022,0.0145202406557368,0.589812955423658
"111","chr13",109376714,109376914,201,"*",4.70164658582449,5.27956942883438,3.72256177521906,0.241808241546707,0.0145335418875205,0.589812955423658
"112","chr9",110249813,110250013,201,"*",7.49580429016998,8.0131678642995,6.68144966090622,0.266449526898934,0.0147823402684658,0.589812955423658
"113","chr6",54070845,54071045,201,"*",4.67047812397609,5.2156677434217,3.78361284244506,0.254246628870328,0.0149193604821371,0.589812955423658
"114","chr9",88547918,88548118,201,"*",5.37505689731883,5.87595590588681,4.60133088386186,0.271948424080184,0.0150058385818102,0.589812955423658
