seqnames,start,end,width,strand,Conc,Conc_Pantr2KO,Conc_WT,Fold,p.value,FDR,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,gene_name
chr14,118358333,118358533,201,*,5.382159651886729,6.2671608126455896,2.675966988653481,0.5592031744334481,1.6702167111054447e-8,5.640321833403087e-4,10415,ENSMUSG00000096997,118363732,118384768,21037,+,5198,upstream,5198,Gm26791
chr14,118358333,118358533,201,*,5.382159651886729,6.2671608126455896,2.675966988653481,0.5592031744334481,1.6702167111054447e-8,5.640321833403087e-4,10415,ENSMUSG00000099911,118365878,118398170,32293,+,7344,upstream,7344,1700044C05Rik
chr9,104042348,104042548,201,*,4.9116156792447585,5.825688739353048,1.799353399690443,0.48433944832660153,4.9429171077878125e-8,8.346115536499722e-4,32466,ENSMUSG00000101152,104040662,104075879,35218,+,0,inside,1685,Gm28305
chr9,104042348,104042548,201,*,4.9116156792447585,5.825688739353048,1.799353399690443,0.48433944832660153,4.9429171077878125e-8,8.346115536499722e-4,32466,ENSMUSG00000104268,104053327,104053455,129,+,10778,upstream,10778,RP23-380A10.6
chr14,73110827,73111027,201,*,4.899905547461032,5.785256581262574,2.1894895473386056,0.4506180003413148,5.875367910949237e-7,0.005249681837293019,10140,ENSMUSG00000022106,73123037,73207843,84807,+,12009,upstream,12009,Rcbtb2
chr14,79313877,79314077,201,*,5.579525394255433,6.353085621336768,3.7962189972838014,0.5185704024430279,2.3312624562733496e-6,0.015745346629670202,10239,ENSMUSG00000022018,79288756,79301645,12890,-,12231,upstream,12231,Rgcc
chr6,128803148,128803348,201,*,6.478580562454873,4.731916639003803,7.245820031426675,-0.43113924033749285,2.89606759550748e-5,0.13971457528612516,26766,ENSMUSG00000030325,128778485,128789215,10731,-,13932,upstream,13932,Klrb1c
chr6,105677548,105677748,201,*,5.9522363999564085,6.634444895467501,4.613642306258107,0.42369328467560297,1.404535458163179e-4,0.47431162422170553,26357,ENSMUSG00000085067,105674755,105677581,2827,-,0,overlapStart,0,Gm15631
chr6,105677548,105677748,201,*,5.9522363999564085,6.634444895467501,4.613642306258107,0.42369328467560297,1.404535458163179e-4,0.47431162422170553,26357,ENSMUSG00000064293,105677660,106699310,1021651,+,0,overlapStart,0,Cntn4
chr6,128799523,128799723,201,*,4.368725088525478,2.47401590009741,5.160390985666731,-0.33739678614578283,1.9359875168678737e-4,0.5448191537052341,26765,ENSMUSG00000030325,128778485,128789215,10731,-,10307,upstream,10307,Klrb1c
chr1,9601446,9601646,201,*,5.077048444175049,5.748719363381679,3.7804440170396365,0.37201213699109825,5.124913626382749e-4,0.589812955423658,25,ENSMUSG00000067879,9601199,9627143,25945,+,0,inside,246,3110035E14Rik
chr2,118554759,118554959,201,*,4.523119196978404,5.173301702374241,3.3076509430674657,0.3045565344229134,0.0025661258549442667,0.589812955423658,18032,ENSMUSG00000040093,118528757,118549687,20931,-,5071,upstream,5071,Bmf
chr9,35740838,35741038,201,*,5.361983979729564,5.980498707693799,4.256374890175182,0.32028498940237027,0.0026230744765112085,0.589812955423658,31321,ENSMUSG00000091174,35741049,35742252,1204,+,10,upstream,10,Gm17677
chr9,120303745,120303945,201,*,4.813862189940512,5.424977027370448,3.732434432691759,0.3112667531454488,0.003294428150073825,0.589812955423658,32781,ENSMUSG00000041794,120303936,120474841,170906,+,0,overlapStart,0,Myrip
chr9,120303745,120303945,201,*,4.813862189940512,5.424977027370448,3.732434432691759,0.3112667531454488,0.003294428150073825,0.589812955423658,32781,ENSMUSG00000083772,120316328,120316917,590,+,12382,upstream,12382,Gm15566
chr1,165935078,165935278,201,*,5.8029219988823195,6.370934044633928,4.852610228824737,0.3206175119158239,0.004058466017187107,0.589812955423658,1769,ENSMUSG00000099008,165941618,165943526,1909,+,6339,upstream,6339,Gm17976
chr9,99568647,99568847,201,*,5.822948787685171,6.370934044633928,4.9285128732620676,0.3208832100910893,0.00475790525411889,0.589812955423658,32385,ENSMUSG00000032468,99478372,99568899,90528,-,0,inside,51,Armc8
chr9,99568647,99568847,201,*,5.822948787685171,6.370934044633928,4.9285128732620676,0.3208832100910893,0.00475790525411889,0.589812955423658,32385,ENSMUSG00000032469,99575799,99584501,8703,+,6951,upstream,6951,Dbr1
chr4,62208446,62208646,201,*,6.4448045445402995,6.995829028063956,5.542076231338201,0.317593587835618,0.004912783884673617,0.589812955423658,21541,ENSMUSG00000028389,62189540,62208446,18907,-,0,overlapStart,0,Zfp37
chr2,106695168,106695368,201,*,5.175085544485645,5.729438123734144,4.26320140820927,0.3031094358147923,0.006180662526566177,0.589812955423658,17902,ENSMUSG00000016386,106693269,106868356,175088,+,0,inside,1898,Mpped2
chr15,99099173,99099373,201,*,5.636365763161418,4.783109564947651,6.168898190178167,-0.3089847423049158,0.006633295665312442,0.589812955423658,11773,ENSMUSG00000001076,99084686,99087817,3132,-,11355,upstream,11355,C1ql4
chr6,123697290,123697490,201,*,4.8926925804178065,5.466007771324989,3.9270807258143554,0.28566962589907546,0.007202268391204638,0.589812955423658,26647,ENSMUSG00000091620,123702821,123742291,39471,+,5330,upstream,5330,Vmn2r23
chr9,92613293,92613493,201,*,4.17958305219206,4.828389573853916,2.9691182502836435,0.25156628732618547,0.007212055736928584,0.589812955423658,32302,ENSMUSG00000101357,92612512,92612977,466,-,315,upstream,315,Gm2495
chr13,76384604,76384804,201,*,5.2711030755303865,5.810150815879472,4.400681181807697,0.2925098104432423,0.008345287250420162,0.589812955423658,8753,ENSMUSG00000021596,76384535,77031810,647276,+,0,inside,68,Mctp1
chr15,99030140,99030340,201,*,5.833397623641964,5.005821552685782,6.355980558993729,-0.2943531717116075,0.009207810864226517,0.589812955423658,11769,ENSMUSG00000043091,99029891,99038105,8215,+,0,inside,248,Tuba1c
chr1,186117203,186117403,201,*,5.930004779210253,6.444682145197361,5.122389341332842,0.29585652455380274,0.009422952762193708,0.589812955423658,2132,ENSMUSG00000039246,186087731,186117310,29580,-,0,overlapStart,0,Lyplal1
chr1,186117203,186117403,201,*,5.930004779210253,6.444682145197361,5.122389341332842,0.29585652455380274,0.009422952762193708,0.589812955423658,2132,ENSMUSG00000103056,186112181,186112373,193,-,4829,upstream,4829,RP24-275B23.1
chr1,186117203,186117403,201,*,5.930004779210253,6.444682145197361,5.122389341332842,0.29585652455380274,0.009422952762193708,0.589812955423658,2132,ENSMUSG00000089363,186123201,186123306,106,+,5797,upstream,5797,Gm23821
chrX,140599176,140599376,201,*,5.174537112111571,5.701498261058413,4.335738725235183,0.2846127263251673,0.01036475937373424,0.589812955423658,33586,ENSMUSG00000031431,140539528,140600659,61132,-,0,inside,1282,Tsc22d3
chr15,98108377,98108577,201,*,5.2775695294752065,5.822129332513414,4.3924023158268986,0.272790497295958,0.011164561321113388,0.589812955423658,11731,ENSMUSG00000033075,98038744,98093744,55001,-,14632,upstream,14632,Senp1
chrX,57393004,57393204,201,*,5.92986162564425,6.436509056842459,5.142132630514987,0.28792211699219944,0.011326683281406558,0.589812955423658,33185,ENSMUSG00000031134,57383530,57393036,9507,-,0,overlapStart,0,Rbmx
chrX,57393004,57393204,201,*,5.92986162564425,6.436509056842459,5.142132630514987,0.28792211699219944,0.011326683281406558,0.589812955423658,33185,ENSMUSG00000065110,57391449,57391519,71,-,1484,upstream,1484,Snord61
chr6,122819894,122820094,201,*,5.366024295063257,5.8933863266903845,4.52619227179996,0.2767593897489767,0.011732992438839915,0.589812955423658,26643,ENSMUSG00000097635,122813626,122820614,6989,-,0,inside,519,Gm26826
chr6,122819894,122820094,201,*,5.366024295063257,5.8933863266903845,4.52619227179996,0.2767593897489767,0.011732992438839915,0.589812955423658,26643,ENSMUSG00000003154,122819914,122845366,25453,+,0,overlapStart,0,Foxj2
chr15,98985755,98985955,201,*,6.419578157917374,5.655723682303453,6.916377126586977,-0.2872071450432348,0.012144925969691621,0.589812955423658,11766,ENSMUSG00000097587,98985965,98989281,3317,+,9,upstream,9,4930578M01Rik
chr5,30711750,30711950,201,*,5.671805050865352,6.1683749401743,4.90849931116935,0.2873376139830608,0.012245659039028505,0.589812955423658,23450,ENSMUSG00000029168,30711564,30799375,87812,+,0,inside,185,Dpysl5
chr17,42876524,42876724,201,*,6.33577743072428,6.815531042640028,5.611963219960865,0.29246154032514654,0.012546750295579981,0.589812955423658,13788,ENSMUSG00000061665,42792951,42876424,83474,-,99,upstream,99,Cd2ap
chr7,27508015,27508215,201,*,6.29090102850572,6.771884351608633,5.564250694802328,0.29062430846232895,0.012833081122963472,0.589812955423658,27329,ENSMUSG00000087371,27502718,27508122,5405,-,0,overlapStart,0,Gm15541
chr8,107436457,107436657,201,*,5.253973964663942,5.77232629244196,4.437127616526027,0.2710137912212069,0.013614900499072775,0.589812955423658,30487,ENSMUSG00000003848,107412486,107425051,12566,-,11405,upstream,11405,Nob1
chr8,107436457,107436657,201,*,5.253973964663942,5.77232629244196,4.437127616526027,0.2710137912212069,0.013614900499072775,0.589812955423658,30487,ENSMUSG00000031930,107436398,107558594,122197,+,0,inside,58,Wwp2
chr6,47788355,47788555,201,*,6.0026123722082,6.506820187957108,5.220849635181511,0.276521372668598,0.013761278902411881,0.589812955423658,25605,ENSMUSG00000097255,47785996,47786374,379,-,1980,upstream,1980,Rpl31-ps7
chr6,47788355,47788555,201,*,6.0026123722082,6.506820187957108,5.220849635181511,0.276521372668598,0.013761278902411881,0.589812955423658,25605,ENSMUSG00000065701,47788069,47788180,112,-,174,upstream,174,Rny1
chr15,83127135,83127335,201,*,5.304160060318838,5.847239902367367,4.422972260905219,0.25975154127606953,0.013917540862416722,0.589812955423658,11420,ENSMUSG00000018040,83113433,83122801,9369,-,4333,upstream,4333,Rrp7a
chr12,104864911,104865111,201,*,4.911794318931094,5.438681829583054,4.073185689430443,0.26586562622573656,0.014045720264716961,0.589812955423658,7573,ENSMUSG00000021097,104763114,104865076,101963,-,0,overlapStart,0,Clmn
chr12,104864911,104865111,201,*,4.911794318931094,5.438681829583054,4.073185689430443,0.26586562622573656,0.014045720264716961,0.589812955423658,7573,ENSMUSG00000021101,104865330,104871524,6195,+,218,upstream,218,4930408O17Rik
chr9,88547918,88548118,201,*,5.375056897318833,5.87595590588681,4.6013308838618565,0.271948424080184,0.01500583858181022,0.589812955423658,32267,ENSMUSG00000032425,88548020,88571061,23042,+,0,overlapStart,0,Zfp949
chr9,88547918,88548118,201,*,5.375056897318833,5.87595590588681,4.6013308838618565,0.271948424080184,0.01500583858181022,0.589812955423658,32267,ENSMUSG00000092805,88553236,88553525,290,+,5117,upstream,5117,Gm26461
chr5,149052022,149052222,201,*,5.897548192112669,6.390810486396252,5.142132630514987,0.2760067668992804,0.015012095442290539,0.589812955423658,25144,ENSMUSG00000066551,149046702,149053513,6812,-,0,inside,1290,Hmgb1
chr9,102493095,102493295,201,*,4.893788135655476,5.416691217270898,4.065395561528986,0.26117342162666035,0.015508116474104269,0.589812955423658,32429,ENSMUSG00000035606,102505750,102546239,40490,+,12454,upstream,12454,Ky
chr4,124562761,124562961,201,*,4.643129046706398,5.200611435254791,3.722561775219061,0.2463712126071992,0.01569310678983462,0.589812955423658,22319,ENSMUSG00000073759,124569190,124574645,5456,+,6228,upstream,6228,4933407E24Rik
chr10,38965401,38965601,201,*,4.392972688107557,4.964308408356588,3.4330973816355312,0.2403222620419049,0.0156939906437761,0.589812955423658,2635,ENSMUSG00000019846,38965515,39110188,144674,+,0,overlapStart,0,Lama4
chr7,16816182,16816382,201,*,5.899417827900291,6.384162328673767,5.164043074804124,0.2749641257320006,0.016113974871841782,0.589812955423658,27151,ENSMUSG00000048920,16809270,16816732,7463,-,0,inside,349,Fkrp
chr7,16816182,16816382,201,*,5.899417827900291,6.384162328673767,5.164043074804124,0.2749641257320006,0.016113974871841782,0.589812955423658,27151,ENSMUSG00000030374,16815889,16840931,25043,+,0,inside,292,Strn4
chr17,88064763,88064963,201,*,5.617634733548071,6.102360262999808,4.882304176208748,0.272332300318518,0.0167473747452062,0.589812955423658,14382,ENSMUSG00000005371,87990859,88065291,74433,-,0,inside,327,Fbxo11
chr1,11414145,11414345,201,*,5.670708662003435,6.200792195503158,4.823832229030455,0.253209586535516,0.016764170040388687,0.589812955423658,47,ENSMUSG00000057715,11414105,11975901,561797,+,0,inside,39,A830018L16Rik
chr1,11414145,11414345,201,*,5.670708662003435,6.200792195503158,4.823832229030455,0.253209586535516,0.016764170040388687,0.589812955423658,47,ENSMUSG00000103825,11416918,11419388,2471,+,2572,upstream,2572,RP23-2K13.1
chr1,165281833,165282033,201,*,5.532002965262051,6.022298459352671,4.783612842445058,0.2696474702154345,0.016779878071485666,0.589812955423658,1755,ENSMUSG00000040836,165295789,165326745,30957,+,13755,upstream,13755,Gpr161
chr3,105801191,105801391,201,*,6.175669905037096,6.665212112355717,5.429055856551638,0.2699633303858673,0.016854905512000768,0.589812955423658,20346,ENSMUSG00000068798,105727267,105801330,74064,-,0,overlapStart,0,Rap1a
chr4,119422684,119422884,201,*,5.771255757723657,6.27482138222176,4.991057781279298,0.26403890079422343,0.0168577544305005,0.589812955423658,22208,ENSMUSG00000028637,119322893,119415521,92629,-,7162,upstream,7162,Ccdc30
chr4,119422684,119422884,201,*,5.771255757723657,6.27482138222176,4.991057781279298,0.26403890079422343,0.0168577544305005,0.589812955423658,22208,ENSMUSG00000028636,119418530,119422420,3891,-,263,upstream,263,Ppcs
chr4,119422684,119422884,201,*,5.771255757723657,6.27482138222176,4.991057781279298,0.26403890079422343,0.0168577544305005,0.589812955423658,22208,ENSMUSG00000070806,119422814,119467444,44631,+,0,overlapStart,0,Zmynd12
chr17,21909578,21909778,201,*,5.6745518837986735,6.1523220816359325,4.955295299590685,0.2743614439790381,0.01693042510154807,0.589812955423658,13264,ENSMUSG00000078546,21879570,21909926,30357,-,0,inside,147,2210404O09Rik
chr14,61648768,61648968,201,*,6.427469948923336,6.915517502308372,5.684370749407452,0.27008012983930035,0.016959016009786276,0.589812955423658,9932,ENSMUSG00000098626,61648638,61648774,137,+,0,overlapEnd,129,Gm27972
chr14,61648768,61648968,201,*,6.427469948923336,6.915517502308372,5.684370749407452,0.27008012983930035,0.016959016009786276,0.589812955423658,9932,ENSMUSG00000097997,61648950,61667312,18363,+,0,overlapStart,0,Gm27017
chr6,118562202,118562402,201,*,5.770554414845298,6.241556149985598,5.06669684082406,0.274662126118578,0.017568040958550822,0.589812955423658,26547,ENSMUSG00000007827,118501308,118562226,60919,-,0,overlapStart,0,Ankrd26
chr6,128843097,128843297,201,*,6.4416533496967165,6.923625453493199,5.712716749564655,0.27007828881117485,0.01765031632348813,0.589812955423658,26768,ENSMUSG00000096931,128843786,128846959,3174,+,488,upstream,488,Gm26656
chr2,167631999,167632199,201,*,6.809249063193091,7.279623598725442,6.106806521201899,0.27455237954069106,0.0176504348038535,0.589812955423658,18941,ENSMUSG00000078923,167607638,167632095,24458,-,0,overlapStart,0,Ube2v1
chr2,167631999,167632199,201,*,6.809249063193091,7.279623598725442,6.106806521201899,0.27455237954069106,0.0176504348038535,0.589812955423658,18941,ENSMUSG00000077999,167626315,167626403,89,-,5595,upstream,5595,Gm23135
chrX,8864400,8864600,201,*,4.657797265844915,5.2412691737461685,3.6622598260368595,0.22791969798985035,0.01765616311384117,0.589812955423658,32940,ENSMUSG00000079697,8874253,8880750,6498,+,9652,upstream,9652,Gm5751
chr15,68928284,68928484,201,*,6.162617977310935,6.676953077494483,5.355858065046681,0.25606368650166156,0.017826561116789093,0.589812955423658,11076,ENSMUSG00000022332,68928420,69093512,165093,+,0,overlapStart,0,Khdrbs3
chr15,98977856,98978056,201,*,7.4633968926651875,6.690084921349157,7.964124729414316,-0.2600837280362882,0.018212056487786423,0.589812955423658,11765,ENSMUSG00000097587,98985965,98989281,3317,+,7908,upstream,7908,4930578M01Rik
chr18,37089874,37090074,201,*,5.847504051313485,6.326193037257125,5.126138780785127,0.26808599379035924,0.0184699172782652,0.589812955423658,14801,ENSMUSG00000103255,37090013,37187657,97645,+,0,overlapStart,0,PCDHA9
chr2,13572254,13572454,201,*,6.084208573854283,6.549786572536086,5.3925217460309645,0.27263152251682093,0.018641099961915087,0.589812955423658,16667,ENSMUSG00000026728,13573927,13582826,8900,+,1472,upstream,1472,Vim
chr2,52072684,52072884,201,*,6.193864427375761,6.684344212308477,5.445039315343105,0.26264733930612094,0.018699304495216815,0.589812955423658,17293,ENSMUSG00000036202,52072837,52122383,49547,+,0,overlapStart,0,Rif1
chr8,13757531,13757731,201,*,5.596313022366364,6.068544384704228,4.889675448265886,0.26872581329920253,0.0190037487660223,0.589812955423658,29318,ENSMUSG00000038416,13757676,13781938,24263,+,0,overlapStart,0,Cdc16
chr10,88451306,88451506,201,*,5.950738257017605,6.442115839867726,5.199791361808814,0.2603773570612908,0.019220528607781156,0.589812955423658,3407,ENSMUSG00000087429,88444236,88449887,5652,-,1418,upstream,1418,Gm16235
chr10,88451306,88451506,201,*,5.950738257017605,6.442115839867726,5.199791361808814,0.2603773570612908,0.019220528607781156,0.589812955423658,3407,ENSMUSG00000020059,88459569,88473236,13668,+,8062,upstream,8062,Sycp3
chr3,108415945,108416145,201,*,5.578047713730705,6.066258039504563,4.834566328137355,0.26130769238018986,0.019270564551673808,0.589812955423658,20421,ENSMUSG00000068740,108390851,108415552,24702,-,392,upstream,392,Celsr2
chr14,70074797,70074997,201,*,7.258797356925586,7.752626667031772,6.502033537557285,0.25792479799631457,0.019677642367184982,0.589812955423658,10087,ENSMUSG00000033730,70077445,70080157,2713,+,2447,upstream,2447,Egr3
chr7,114415077,114415277,201,*,6.072951094502266,6.56310116948101,5.324904078609389,0.258143359138164,0.020162772891728065,0.589812955423658,28520,ENSMUSG00000087475,114315479,114415161,99683,-,0,overlapStart,0,4933406I18Rik
chr7,114415077,114415277,201,*,6.072951094502266,6.56310116948101,5.324904078609389,0.258143359138164,0.020162772891728065,0.589812955423658,28520,ENSMUSG00000030671,114415281,114539251,123971,+,3,upstream,3,Pde3b
chr9,15306125,15306325,201,*,6.246789475686864,6.732904332573911,5.508217201654236,0.2592603545190787,0.020228895929620377,0.589812955423658,31025,ENSMUSG00000031938,15283337,15306448,23112,-,0,inside,122,4931406C07Rik
